;2018-01-31 00:00:00;2018-02-28 00:00:00;2018-03-31 00:00:00;2018-04-30 00:00:00;2018-05-31 00:00:00;2018-06-30 00:00:00;2018-07-31 00:00:00;2018-08-31 00:00:00;2018-09-30 00:00:00;2018-10-31 00:00:00;2018-11-30 00:00:00;2018-12-31 00:00:00;2019-01-31 00:00:00;2019-02-28 00:00:00;2019-03-31 00:00:00;2019-04-30 00:00:00;2019-05-31 00:00:00;2019-06-30 00:00:00;2019-07-31 00:00:00;2019-08-31 00:00:00;2019-09-30 00:00:00;2019-10-31 00:00:00;2019-11-30 00:00:00;2019-12-31 00:00:00;2020-01-31 00:00:00;2020-02-29 00:00:00;2020-03-31 00:00:00;2020-04-30 00:00:00;2020-05-31 00:00:00;2020-06-30 00:00:00;2020-07-31 00:00:00;2020-08-31 00:00:00;2020-09-30 00:00:00;2020-10-31 00:00:00;2020-11-30 00:00:00;2020-12-31 00:00:00;2021-01-31 00:00:00;2021-02-28 00:00:00;2021-03-31 00:00:00;2021-04-30 00:00:00;2021-05-31 00:00:00;2021-06-30 00:00:00;2021-07-31 00:00:00;2021-08-31 00:00:00;2021-09-30 00:00:00;2021-10-31 00:00:00;2021-11-30 00:00:00;2021-12-31 00:00:00;2022-01-31 00:00:00;2022-02-28 00:00:00;2022-03-31 00:00:00;2022-04-30 00:00:00;2022-05-31 00:00:00;2022-06-30 00:00:00;2022-07-31 00:00:00;2022-08-31 00:00:00;2022-09-30 00:00:00;2022-10-31 00:00:00;clus
ES01_N-S;1880.3423180592993;1976.6607142857142;1801.3494623655913;1926.0111111111112;1868.494623655914;1967.5444444444445;1853.5967741935483;1432.9543010752689;1941.2722222222221;1957.4059139784947;1953.0805555555555;1884.8817204301076;1672.1155913978494;2129.589285714286;1876.032258064516;2008.6555555555556;1890.1478494623657;1932.2416666666666;1857.018817204301;1600.4489247311828;1883.8472222222222;2121.3521505376343;2092.5333333333333;1875.5725806451612;1842.9327956989248;1934.1522988505747;959.4327956989247;185.40833333333333;158.34677419354838;304.56388888888887;436.66129032258067;960.4677419354839;1497.975;1467.6908602150538;1491.4222222222222;1554.6801075268818;1076.2123655913979;1488.7142857142858;1581.1612903225807;1575.5944444444444;1724.6693548387098;1045.9222222222222;1645.8844086021506;1214.279569892473;1764.0833333333333;1795.516129032258;1777.963888888889;1714.779569892473;1423.467741935484;1667.717261904762;1663.6344086021506;1493.9055555555556;1641.2983870967741;1652.9666666666667;1489.9354838709678;1135.2983870967741;1663.7583333333334;1515.0;2
ES01_S-N;2691.8571428571427;2822.339285714286;2602.282258064516;2782.538888888889;2744.6774193548385;2858.7638888888887;2564.3064516129034;1725.029569892473;2639.713888888889;2685.4973118279568;2707.811111111111;3030.3467741935483;2332.483870967742;3092.6458333333335;2552.467741935484;2909.1472222222224;2591.5;2631.883333333333;2492.4166666666665;2000.3198924731182;2571.461111111111;3083.1102150537636;3045.4333333333334;2520.4086021505377;2644.010752688172;2671.0287356321837;1302.725806451613;277.9194444444444;615.4247311827957;1277.2972222222222;1691.5725806451612;1090.2043010752689;1953.3972222222221;1905.1021505376343;1959.5722222222223;2087.3387096774195;1381.6397849462367;1958.0684523809523;2012.9274193548388;1971.0555555555557;2196.8655913978496;2226.0194444444446;1972.3844086021506;1372.1209677419354;2234.608333333333;2323.6505376344085;2361.6388888888887;2365.6075268817203;1968.717741935484;2355.1726190476193;2418.3736559139784;2085.9861111111113;2327.52688172043;2351.1583333333333;2020.6559139784947;1380.6102150537633;2358.0194444444446;2030.0;2
ES02_N-S;1371.743935309973;1461.7589285714287;1389.4435483870968;1464.5916666666667;1390.9543010752689;1443.4138888888888;1254.231182795699;1036.768817204301;1304.8083333333334;1308.4596774193549;1328.3083333333334;1276.975806451613;1302.4220430107528;1564.452380952381;1117.758064516129;931.4861111111111;1277.0645161290322;1381.0166666666667;1421.1827956989248;1311.8870967741937;1507.9527777777778;1602.1075268817203;1643.588888888889;1528.0645161290322;1582.215053763441;1609.6206896551723;912.008064516129;327.81666666666666;306.6989247311828;1077.2305555555556;1260.9381720430108;1145.9381720430108;1254.4944444444445;1118.784946236559;1031.7111111111112;957.7741935483871;786.9139784946236;769.0238095238095;826.9032258064516;881.8916666666667;1186.4516129032259;1999.5166666666667;879.1666666666666;1074.284946236559;1366.6472222222221;1344.965053763441;1337.4277777777777;1220.6209677419354;1193.8360215053763;1221.235119047619;882.6612903225806;941.0638888888889;825.6263440860215;743.6694444444445;687.6989247311828;1066.1370967741937;754.1;866.0;1
ES02_S-N;1557.0215633423181;1677.5267857142858;1605.3629032258063;1679.338888888889;1580.1048387096773;1641.7055555555555;1529.3548387096773;1289.77688172043;1422.875;1572.3870967741937;1588.286111111111;1505.532258064516;1484.1397849462367;1843.360119047619;1566.975806451613;1693.1666666666667;1584.8844086021506;1641.0055555555555;1650.7096774193549;1514.8198924731182;1742.1805555555557;2055.6236559139784;1998.0944444444444;1818.27688172043;1874.741935483871;1817.9827586206898;1032.3198924731182;417.68888888888887;486.5403225806452;1405.7722222222221;1595.518817204301;1507.779569892473;1743.7305555555556;1506.4059139784947;1293.5666666666666;1357.6935483870968;1356.6881720430108;1396.157738095238;1329.6962365591398;1372.8777777777777;1152.970430107527;1332.125;1491.4462365591398;1275.755376344086;1594.1944444444443;1643.478494623656;1685.4444444444443;1675.516129032258;1557.2096774193549;1728.514880952381;1730.516129032258;1706.736111111111;1735.774193548387;1769.0388888888888;1625.5403225806451;1385.989247311828;1820.763888888889;2248.0;1
ES03_N-S;1784.4070080862534;1834.3869047619048;1664.8924731182797;1822.05;1801.465053763441;1856.213888888889;1589.3225806451612;1168.967741935484;1716.0444444444445;1795.0430107526881;1770.1361111111112;1758.6155913978494;1730.489247311828;2079.7321428571427;1750.8548387096773;1928.1833333333334;1744.8682795698924;1772.3361111111112;1630.1155913978494;1229.483870967742;1711.1305555555555;2007.3467741935483;1994.2666666666667;1733.3629032258063;1744.263440860215;1761.5;998.9193548387096;417.6361111111111;731.491935483871;1254.6194444444445;1255.6505376344087;811.6451612903226;1239.4444444444443;1256.6451612903227;1323.513888888889;1364.258064516129;922.7284946236559;1289.3690476190477;1351.1532258064517;1382.8416666666667;1539.5913978494623;1129.1416666666667;1361.3494623655913;968.0940860215054;1546.2444444444445;1525.8790322580646;1572.8583333333333;1610.6397849462367;1340.9489247311828;1456.139880952381;1502.0591397849462;1338.5777777777778;1434.7043010752689;1443.6055555555556;1178.260752688172;882.7983870967741;1344.125;1182.0;2
ES03_S-N;2541.7412398921833;2590.598214285714;2411.4919354838707;2587.3416666666667;2519.462365591398;2595.2833333333333;2290.1532258064517;1660.6505376344087;2422.8194444444443;2502.069892473118;2498.4694444444444;2467.456989247312;2364.489247311828;2876.5119047619046;2444.9919354838707;2671.8277777777776;2433.3387096774195;2529.0138888888887;2351.739247311828;1802.784946236559;2421.8333333333335;2953.010752688172;2923.947222222222;2492.069892473118;2473.8951612903224;2460.551724137931;1418.47311827957;609.425;1015.3467741935484;1691.1944444444443;1818.6639784946237;1233.0887096774193;1884.7111111111112;1846.6451612903227;1891.1472222222221;1872.6263440860216;1275.0510752688172;1833.705357142857;1897.4408602150538;1950.8138888888889;2153.9650537634407;3086.7638888888887;1886.1344086021506;1399.1102150537633;2172.15;2234.1827956989246;2310.436111111111;2289.4059139784945;2006.1666666666667;2126.2321428571427;2229.319892473118;2028.4527777777778;2183.0806451612902;2129.4222222222224;1846.4327956989248;1388.970430107527;2120.4166666666665;1496.0;2
ES04_E-O;1072.698113207547;1109.657738095238;1001.3575268817204;1083.1472222222221;1038.4166666666667;1033.15;921.3333333333334;658.1586021505376;1025.5416666666667;1070.6827956989248;1041.475;1016.9086021505376;989.9543010752689;1188.827380952381;975.3602150537635;1105.911111111111;983.6075268817204;1022.5305555555556;957.9032258064516;773.986559139785;1006.8388888888888;1183.3064516129032;1160.4472222222223;971.7016129032259;968.747311827957;966.778735632184;558.2930107526881;215.5888888888889;363.40860215053766;715.7722222222222;705.005376344086;431.7016129032258;706.8944444444444;670.7768817204301;708.8361111111111;702.9139784946236;534.3413978494624;736.3988095238095;774.766129032258;778.225;877.6424731182796;1121.7972222222222;729.4435483870968;553.0456989247311;897.4555555555555;912.6559139784946;963.4611111111111;921.7876344086021;735.75;868.1517857142857;886.0698924731183;774.5555555555555;839.4435483870968;845.4944444444444;671.6854838709677;455.98924731182797;805.0388888888889;633.0;2
ES04_O-E;1376.989218328841;1411.077380952381;1259.502688172043;1361.2694444444444;1353.9354838709678;1400.2277777777779;1294.475806451613;923.6854838709677;1399.2083333333333;1430.5591397849462;1392.8444444444444;1365.247311827957;1357.981182795699;1528.8839285714287;1431.521505376344;1859.8916666666667;1549.02688172043;1407.0194444444444;1369.3037634408602;1049.1854838709678;1402.4555555555555;1548.9112903225807;1525.3444444444444;1322.5645161290322;1362.5430107526881;1427.9396551724137;783.5967741935484;293.6388888888889;539.7956989247311;1047.5861111111112;1126.0779569892472;764.25;1182.3722222222223;1075.8037634408602;1100.4305555555557;1087.8951612903227;748.0188172043011;1129.5416666666667;1178.6478494623657;1154.0166666666667;1203.3844086021506;2921.2166666666667;1101.5;821.486559139785;1291.4194444444445;1288.3091397849462;1300.9777777777779;1246.3306451612902;1177.0564516129032;1278.3244047619048;1288.5833333333333;1145.3222222222223;1249.016129032258;1284.4277777777777;1135.8467741935483;825.1397849462365;1305.75;907.0;3
ES05_N-S;3722.2210242587603;3908.845238095238;3634.0940860215055;3584.0416666666665;3686.3736559139784;3871.625;3524.2795698924733;2614.005376344086;3319.4166666666665;3615.69623655914;3354.45;3197.6720430107525;2919.994623655914;3648.9851190476193;3226.0752688172042;3652.9;3381.0752688172042;3469.4055555555556;3068.5806451612902;3166.9032258064517;3427.2722222222224;3993.6397849462364;3981.3333333333335;3627.0403225806454;3536.8951612903224;3655.0632183908046;2042.4301075268818;778.1083333333333;1236.8333333333333;2124.561111111111;2979.8629032258063;2294.6155913978496;3107.288888888889;2837.3709677419356;3023.0138888888887;3071.6209677419356;2086.5295698924733;3115.8065476190477;3238.44623655914;3224.508333333333;3537.935483870968;1634.4611111111112;3357.3629032258063;2761.5752688172042;3664.261111111111;3682.4059139784945;3702.9194444444443;3615.1182795698924;3259.1075268817203;3645.6875;3572.8172043010754;3354.6055555555554;3556.951612903226;3490.825;3289.9327956989246;2723.8629032258063;3639.8194444444443;4129.0;2
ES05_S-N;2242.7708894878706;2486.5238095238096;2345.1236559139784;2475.0222222222224;2447.3924731182797;2514.597222222222;2333.4435483870966;1966.4569892473119;2440.6916666666666;2439.2043010752686;2444.133333333333;2360.8817204301076;2319.0403225806454;2672.8869047619046;2428.3548387096776;2485.9194444444443;2387.2258064516127;2421.516666666667;2337.6559139784945;2215.456989247312;2399.913888888889;2653.5752688172042;2615.5833333333335;2857.0779569892475;2789.9973118279568;2874.094827586207;1825.975806451613;824.1666666666666;965.2311827956989;1686.1944444444443;2146.52688172043;1770.6801075268818;2386.4083333333333;2378.9086021505377;2516.536111111111;2041.0510752688172;1633.6559139784947;2237.2648809523807;2333.478494623656;2596.3166666666666;2680.9758064516127;584.1111111111111;2434.1881720430106;2212.1263440860216;2834.7194444444444;2799.3655913978496;2457.5833333333335;2333.7258064516127;2035.9005376344087;2266.095238095238;2244.2580645161293;2129.5694444444443;2262.3306451612902;2251.6916666666666;2035.1209677419354;1722.8602150537633;2272.6694444444443;1946.0;1
